sample_id,mode,true_algorithm,predicted_algorithm,correct,predicted_score,oracle_score,regret,prediction_confidence,probability_gzip,probability_bz2,probability_lzma,probability_zstd,generator,seed,size,file_size,entropy,unique_byte_count,most_common_byte_ratio,zero_byte_ratio,adjacent_repeat_ratio,average_run_length,max_run_length,duplicate_block_ratio,bigram_diversity,segment_entropy_mean,segment_entropy_std
sample_000286,archive,zstd,gzip,False,0.67168899541112825,0.55034437342805242,0.12134462198307583,1,1,0,0,0,structured,20261269,1048576,1048576,4.789321118137325,35,0.087702751159667969,0,0.016484276279712943,1.0167605457625442,4,0.6229095458984375,0.00262451171875,4.7873649018849163,0.0078728104036838008
sample_000664,archive,zstd,gzip,False,0.49609634423767496,0.37281401714473822,0.12328232709293674,1,1,0,0,0,structured,20261647,262144,262144,4.5661931519567043,31,0.16142654418945312,0,0.012531328320802004,1.0126903063057495,4,0.41363525390625,0.00250244140625,4.5484966238298892,0.010653480643473896
sample_000916,archive,gzip,zstd,False,0.39570729706502883,0.30787331207215385,0.087833984992874981,1,0,0,0,1,structured,20261899,16384,16384,4.5350746356763398,31,0.1650390625,0,0.011109076481718855,1.0112331810887545,3,0.283203125,0.010010376609900506,4.5308248043572874,0.01271665730923837
sample_000922,archive,zstd,gzip,False,0.6121440887111913,0.33886929353382317,0.27327479517736813,1,1,0,0,0,structured,20261905,65536,65536,4.5503768411496219,31,0.1634521484375,0,0.012527656977187763,1.0126863941899096,4,0.355712890625,0.0025024795910582134,4.5382167524611274,0.010964593651810264
sample_000916,balanced,gzip,zstd,False,0.40771503181129204,0.34182605545482192,0.065888976356470119,1,0,0,0,1,structured,20261899,16384,16384,4.5350746356763398,31,0.1650390625,0,0.011109076481718855,1.0112331810887545,3,0.283203125,0.010010376609900506,4.5308248043572874,0.01271665730923837
sample_000256,fast_access,zstd,gzip,False,0.4519241403197376,0.32511099848039449,0.12681314183934311,1,1,0,0,0,structured,20261239,262144,262144,4.5664638062694491,31,0.1614532470703125,0,0.012584734286248345,1.0127450791013928,4,0.41778564453125,0.00250244140625,4.549371070373585,0.01129277548588988
sample_000604,fast_access,zstd,gzip,False,0.62444895183737903,0.13814927412559069,0.48629967771178834,1,1,0,0,0,structured,20261587,16384,16384,4.7879482046737358,35,0.087646484375,0,0.017823353476164316,1.0181456624409644,4,0.1357421875,0.010498687664041995,4.7864345254209546,0.007091727576751708
sample_000664,fast_access,zstd,gzip,False,0.46362751058857882,0.18399507451253874,0.27963243607604005,1,1,0,0,0,structured,20261647,262144,262144,4.5661931519567043,31,0.16142654418945312,0,0.012531328320802004,1.0126903063057495,4,0.41363525390625,0.00250244140625,4.5484966238298892,0.010653480643473896
sample_000841,fast_access,gzip,zstd,False,0.5742139516323832,0.48730363077730465,0.086910320855078549,1,0,0,0,1,small_alphabet,20261824,16384,16384,1.9998389180676854,4,0.25396728515625,0,0.24507111029725936,1.3246018271485165,7,0,0.00097662210828297624,1.9995047671874295,0.0001549683030377176
sample_000916,fast_access,gzip,zstd,False,0.55104307716064016,0.24776642466404236,0.3032766524965978,1,0,0,0,1,structured,20261899,16384,16384,4.5350746356763398,31,0.1650390625,0,0.011109076481718855,1.0112331810887545,3,0.283203125,0.010010376609900506,4.5308248043572874,0.01271665730923837
sample_000922,fast_access,zstd,gzip,False,0.69673822155272291,0.14522969722878135,0.5515085243239416,1,1,0,0,0,structured,20261905,65536,65536,4.5503768411496219,31,0.1634521484375,0,0.012527656977187763,1.0126863941899096,4,0.355712890625,0.0025024795910582134,4.5382167524611274,0.010964593651810264
