sample_id,mode,best_algorithm,best_score,score_gzip,score_bz2,score_lzma,score_zstd
sample_000000,archive,zstd,0.0,0.5938603326510613,1.636019275630043,1.4081823126072825,0.0
sample_000000,balanced,zstd,0.0,0.9892387818838313,2.7087648092213525,2.3449403511422755,0.0
sample_000000,fast_access,zstd,0.0,1.26910099786219,4.037085989986204,2.9342903073097815,0.0
sample_000001,archive,zstd,0.1374526603739303,0.7295167795022065,0.9411945895710565,1.107692015643603,0.1374526603739303
sample_000001,balanced,zstd,0.1099691893653793,1.1888508532411965,1.5473084274561555,1.8461533594060051,0.1099691893653793
sample_000001,fast_access,zstd,0.09486387191002887,0.9470291157035852,2.102471876852752,2.083322860786571,0.09486387191002887
sample_000002,archive,zstd,0.0,0.9820184397488714,1.856218165822919,2.550301685632562,0.0
sample_000002,balanced,zstd,0.0,0.99043036145605,2.533174823460859,3.0976767345564564,0.0
sample_000002,fast_access,zstd,0.0,0.894392498669109,2.912677790772266,3.0833985447209296,0.0
sample_000003,archive,zstd,0.0,0.7181135279161339,1.3901786150266346,2.077395963756516,0.0
sample_000003,balanced,zstd,0.0,0.894411073242862,1.7312640891168525,2.7901744547942995,0.0
sample_000003,fast_access,zstd,0.0,0.8903528901257456,2.070462745876041,2.9604778224754256,0.0
sample_000004,archive,zstd,0.333080368538318,0.4925280850539782,0.8393382469748303,1.2906929292758562,0.333080368538318
sample_000004,balanced,zstd,0.23791454895594144,0.5765889943295064,1.3988970782913839,1.9694445451060167,0.23791454895594144
sample_000004,fast_access,zstd,0.14274872937356486,0.43172844657530796,1.833546506085749,2.1844499940750346,0.14274872937356486
sample_000005,archive,zstd,0.08208158482804061,0.3614547407436776,1.064632563710651,1.1121937118419012,0.08208158482804061
sample_000005,balanced,zstd,0.05862970344860044,0.5242516299746621,1.7175015637866289,1.8536561864031684,0.05862970344860044
sample_000005,fast_access,zstd,0.035177822069160265,0.6236199915826416,2.3241753999695214,2.379038751611944,0.035177822069160265
