sample_id,generator,seed,size,generation_parameters,file_size,entropy,unique_byte_count,most_common_byte_ratio,zero_byte_ratio,adjacent_repeat_ratio,average_run_length,max_run_length,duplicate_block_ratio,bigram_diversity,segment_entropy_mean,segment_entropy_std
sample_000000,random,20260983,16384,"{""distribution"":""uniform_bytes""}",16384,7.990238348463232,256,0.00537109375,0.00384521484375,0.004028566196667277,1.0040446133104548,2,0.0,0.8852469022767503,7.954927091319694,0.004513567193825438
sample_000001,small_alphabet,20260984,16384,"{""alphabet"":[112,145,204,253],""alphabet_size"":4,""distribution"":""uniform""}",16384,1.9998344098600929,4,0.2550048828125,0.0,0.24891655984862357,1.331383065171461,9,0.0,0.0009766221082829762,1.9996575609943061,0.0002736889902943656
sample_000002,repeated_pattern,20260985,16384,"{""pattern_hex"":""f36e508d4c2f37accc656d11838114a85571551b3248c81d9b32d37a4fd2c68caf066c2237466ce37f00899d5b91c26ef2c31172353e71711595ae59f2ce8bc5"",""pattern_length"":64}",16384,5.706954882778696,55,0.046875,0.015625,0.01562595373252762,1.0158730158730158,2,0.99609375,0.003906488433131905,5.706954882778696,0.0
sample_000003,long_runs,20260986,16384,"{""byte_distribution"":""uniform_without_adjacent_run_duplicates"",""max_run_length"":512,""min_run_length"":128}",16384,5.472700735632061,48,0.05560302734375,0.0,0.996887017029848,315.0769230769231,511,0.904296875,0.0060428492950009155,3.6267251550382342,0.07829661627294683
sample_000004,structured,20260987,16384,"{""format"":""csv"",""group_count"":16,""value_range"":[0,9999]}",16384,3.4049573468860403,25,0.2244873046875,0.0,0.0466947445522798,1.048978807862219,4,0.0,0.009827259964597448,3.388556423617662,0.036283870502803885
sample_000005,mixed,20260988,16384,"{""segments"":[{""generator"":""structured"",""parameters"":{""format"":""csv"",""group_count"":16,""value_range"":[0,9999]},""size"":3277},{""generator"":""random"",""parameters"":{""distribution"":""uniform_bytes""},""size"":3277},{""generator"":""repeated_pattern"",""parameters"":{""pattern_hex"":""26107230bb35fb719c4621d937d78a55273d2d74ec6d9c599a53b2e5ff6760896ad11b29bed05bb15cdd38e2bb7399343810ec047497685531bf8dc971cc397e440b75011ddd34697837aba64e219b28f64ab5b07234eb5c4d5f1ed63b0587ef2fb93742b87a3ef28e569a832cff8379e826d3c0851ce1c4c0564c7508301521"",""pattern_length"":128},""size"":3277},{""generator"":""small_alphabet"",""parameters"":{""alphabet"":[4,5,42,50,60,64,110,128,134,137,143,159,171,175,219,253],""alphabet_size"":16,""distribution"":""uniform""},""size"":3277},{""generator"":""long_runs"",""parameters"":{""byte_distribution"":""uniform_without_adjacent_run_duplicates"",""max_run_length"":512,""min_run_length"":128},""size"":3276}]}",16384,6.841167103565319,256,0.04852294921875,0.000732421875,0.21986205212720503,1.281802534814583,508,0.369140625,0.22883476774705488,5.720347779707963,1.3337686506748592
sample_000006,random,20260989,65536,"{""distribution"":""uniform_bytes""}",65536,7.997033041927276,256,0.0046844482421875,0.003753662109375,0.0036316472114137485,1.003644828325523,3,0.0,0.6343022812237735,7.954005487068725,0.003508159828975153
sample_000007,small_alphabet,20260990,65536,"{""alphabet"":[11,18,20,34,64,102,124,155,192,197,207,220,221,229,237,249],""alphabet_size"":16,""distribution"":""uniform""}",65536,3.999886496139624,16,0.06402587890625,0.0,0.0601205462729839,1.0639651925449705,5,0.0,0.003906309605554284,3.997511478068317,0.0008605281270736137
sample_000008,repeated_pattern,20260991,65536,"{""pattern_hex"":""20359a834e7af14b41c2465ca5189e87b1223bc781243c9f8fd10ed37681b1fef80d79e86667aa35f272a7a6c14ad698ca5e6db456d4b7d9512784483956b85c36a2f4d485ce9a5901e7879d18e84fcc805d2555233543c6fe943ca6b3be1287b8b273eac0a4d003ea17e77a6fe1d2e3a14384df84b7b006a521b758775f5e47"",""pattern_length"":128}",65536,6.570159765557392,102,0.0234375,0.0,0.0,1.0,1,0.998046875,0.001953154802777142,6.570159765557392,0.0
sample_000009,long_runs,20260992,65536,"{""byte_distribution"":""uniform_without_adjacent_run_duplicates"",""max_run_length"":128,""min_run_length"":32}",65536,7.702228294124275,241,0.0104827880859375,0.004150390625,0.9877622644388495,81.61394769613948,128,0.75390625,0.015838864728770885,5.359492923368346,0.09439878333328258
sample_000010,structured,20260993,65536,"{""format"":""csv"",""group_count"":16,""value_range"":[0,9999]}",65536,3.420807069718474,25,0.21405029296875,0.0,0.04570077058060578,1.047888585088182,4,0.0,0.002456702525368124,3.3864421906696096,0.02921421420927735
sample_000011,mixed,20260994,65536,"{""segments"":[{""generator"":""small_alphabet"",""parameters"":{""alphabet"":[147,225],""alphabet_size"":2,""distribution"":""uniform""},""size"":13108},{""generator"":""repeated_pattern"",""parameters"":{""pattern_hex"":""42921b7e"",""pattern_length"":4},""size"":13107},{""generator"":""long_runs"",""parameters"":{""byte_distribution"":""uniform_without_adjacent_run_duplicates"",""max_run_length"":32,""min_run_length"":8},""size"":13107},{""generator"":""structured"",""parameters"":{""format"":""log"",""group_count"":16,""value_range"":[0,9999]},""size"":13107},{""generator"":""random"",""parameters"":{""distribution"":""uniform_bytes""},""size"":13107}]}",65536,6.412035386511389,256,0.101898193359375,0.00238037109375,0.29451438162813764,1.4174543095057857,32,0.248046875,0.19459830624856947,4.6744864166132105,2.5967682805571264
sample_000012,random,20260995,262144,"{""distribution"":""uniform_bytes""}",262144,7.999302234855807,256,0.00420379638671875,0.0037841796875,0.003746047004879016,1.0037601182407854,3,0.0,0.9809417724609375,7.954947190005401,0.004093644669231819
sample_000013,small_alphabet,20260996,262144,"{""alphabet"":[20,33,77,116,126,168,195,222],""alphabet_size"":8,""distribution"":""uniform""}",262144,2.9999744294792907,8,0.1258087158203125,0.0,0.1253476156143784,1.1433107268246943,7,0.0,0.0009765625,2.9988913470782603,0.0006236395412515807
